;time_s;time_s;time_s;time_s;time_s;TPS;TPS;TPS
;count;mean;median;min;max;mean;median;max
method;;;;;;;;
Kociemba;15;28.8768;28.432;22.451;36.875;0.717944942970341;0.7054673721340388;0.9171907756813417
LBL;77;101.5834025974026;99.56;63.23;149.487;0.3045608111485107;0.0;1.398467023934069
